Filename,Model 1 Prediction,Model 1 Confidence,Model 2 Prediction,Model 2 Confidence,Final Prediction
test_img_500_9346.png,Normal,0.999841452,Lung Opacity,0.875297427,Normal (Confidence: 1.00)
test_img_500_9347.png,Normal,0.99418056,Normal,0.829836845,Normal (Confidence: 0.99)
test_img_500_935.png,Normal,0.995490491,Lung Opacity,0.948644578,Normal (Confidence: 1.00)
test_img_500_9350.png,Normal,0.999848843,Lung Opacity,0.951655567,Normal (Confidence: 1.00)
test_img_500_9360.png,Normal,0.992862403,Lung Opacity,0.864607096,Normal (Confidence: 0.99)
test_img_500_9361.png,Normal,0.999983549,Normal,0.978981316,Normal (Confidence: 1.00)
test_img_500_9362.png,Normal,0.999365866,Normal,0.776541352,Normal (Confidence: 1.00)
test_img_500_9363.png,Normal,0.994316161,Lung Opacity,0.505995572,Normal (Confidence: 0.99)
test_img_500_9364.png,Normal,0.999047101,Normal,0.540082872,Normal (Confidence: 1.00)
test_img_500_9366.png,Normal,0.995074928,Lung Opacity,0.907548785,Normal (Confidence: 1.00)
test_img_500_9367.png,Normal,0.999941111,Normal,0.949555635,Normal (Confidence: 1.00)
test_img_500_9368.png,Normal,0.996336341,Normal,0.844534457,Normal (Confidence: 1.00)
test_img_500_9369.png,Normal,0.999945521,Lung Opacity,0.759674191,Normal (Confidence: 1.00)
test_img_500_937.png,Normal,0.997791052,Lung Opacity,0.635361671,Normal (Confidence: 1.00)
test_img_500_9370.png,Normal,0.995880365,Normal,0.771310568,Normal (Confidence: 1.00)
test_img_500_9371.png,Normal,0.999990821,Normal,0.84601754,Normal (Confidence: 1.00)
test_img_500_9372.png,Normal,0.995720327,Lung Opacity,0.640703976,Normal (Confidence: 1.00)
test_img_500_9374.png,Normal,0.999848723,Lung Opacity,0.552530527,Normal (Confidence: 1.00)
test_img_500_9376.png,Normal,0.938993275,Lung Opacity,0.670683026,Normal (Confidence: 0.94)
test_img_500_9378.png,Normal,0.990181208,Lung Opacity,0.861946285,Normal (Confidence: 0.99)
test_img_500_9379.png,Normal,0.996583819,Lung Opacity,0.729419529,Normal (Confidence: 1.00)
test_img_500_9380.png,Normal,0.99994266,Normal,0.853025794,Normal (Confidence: 1.00)
test_img_500_9381.png,Normal,0.999505162,Normal,0.813348591,Normal (Confidence: 1.00)
test_img_500_9382.png,Normal,0.999143124,Normal,0.862590313,Normal (Confidence: 1.00)
test_img_500_9383.png,Normal,0.998593628,Lung Opacity,0.763553798,Normal (Confidence: 1.00)
test_img_500_9385.png,Normal,0.999868751,Normal,0.792419255,Normal (Confidence: 1.00)
test_img_500_9387.png,Normal,0.94279784,Lung Opacity,0.668433011,Normal (Confidence: 0.94)
test_img_500_9390.png,Normal,0.999890924,Normal,0.949196994,Normal (Confidence: 1.00)
test_img_500_9391.png,Normal,0.845586002,Lung Opacity,0.795283079,Normal (Confidence: 0.85)
test_img_500_9394.png,Normal,0.999888778,Normal,0.697403967,Normal (Confidence: 1.00)
test_img_500_9395.png,Normal,0.999230742,Lung Opacity,0.720375717,Normal (Confidence: 1.00)
test_img_500_9396.png,Normal,0.999458611,Normal,0.844162047,Normal (Confidence: 1.00)
test_img_500_9397.png,Normal,0.977551162,Normal,0.508762419,Normal (Confidence: 0.98)
test_img_500_9398.png,Normal,0.972714245,Normal,0.578973413,Normal (Confidence: 0.97)
test_img_500_9399.png,Normal,0.967416942,Lung Opacity,0.88977015,Normal (Confidence: 0.97)
test_img_500_94.png,Normal,0.999872327,Lung Opacity,0.95058918,Normal (Confidence: 1.00)
test_img_500_9401.png,Normal,0.892301083,Lung Opacity,0.87937963,Normal (Confidence: 0.89)
test_img_500_9402.png,Normal,0.999923229,Lung Opacity,0.500550926,Normal (Confidence: 1.00)
test_img_500_9403.png,Normal,0.998806357,Normal,0.582540333,Normal (Confidence: 1.00)
test_img_500_9404.png,Normal,0.987588227,Normal,0.699116588,Normal (Confidence: 0.99)
test_img_500_9406.png,Normal,0.995258152,Lung Opacity,0.983379424,Normal (Confidence: 1.00)
test_img_500_9407.png,Normal,0.988437116,Lung Opacity,0.949627519,Normal (Confidence: 0.99)
test_img_500_9408.png,Normal,0.999996185,Normal,0.946074307,Normal (Confidence: 1.00)
test_img_500_9409.png,Normal,0.998690546,Lung Opacity,0.843163192,Normal (Confidence: 1.00)
test_img_500_9410.png,Normal,0.999990702,Normal,0.912944436,Normal (Confidence: 1.00)
test_img_500_9411.png,Normal,0.876969397,Lung Opacity,0.686229408,Normal (Confidence: 0.88)
test_img_500_9412.png,Normal,0.994062006,Lung Opacity,0.907755733,Normal (Confidence: 0.99)
test_img_500_9413.png,Normal,0.999716341,Normal,0.64124018,Normal (Confidence: 1.00)
test_img_500_9414.png,Normal,0.961423337,Lung Opacity,0.705567479,Normal (Confidence: 0.96)
test_img_500_9415.png,Normal,0.999805152,Lung Opacity,0.918325543,Normal (Confidence: 1.00)
test_img_500_9417.png,Normal,0.956377089,Lung Opacity,0.660743654,Normal (Confidence: 0.96)
test_img_500_9418.png,Normal,0.999779761,Normal,0.966136336,Normal (Confidence: 1.00)
test_img_500_942.png,Normal,0.999860883,Lung Opacity,0.856291294,Normal (Confidence: 1.00)
test_img_500_9421.png,Normal,0.917831302,Lung Opacity,0.630923927,Normal (Confidence: 0.92)
test_img_500_9422.png,Normal,0.999721706,Normal,0.812816679,Normal (Confidence: 1.00)
test_img_500_9423.png,Normal,0.96839565,Lung Opacity,0.859268844,Normal (Confidence: 0.97)
test_img_500_9424.png,Normal,0.95999819,Lung Opacity,0.696238101,Normal (Confidence: 0.96)
test_img_500_9428.png,Normal,0.997949898,Normal,0.631723464,Normal (Confidence: 1.00)
test_img_500_9429.png,Normal,0.96702677,Lung Opacity,0.807002544,Normal (Confidence: 0.97)
test_img_500_943.png,Normal,0.999996185,Normal,0.568369627,Normal (Confidence: 1.00)
test_img_500_9430.png,Normal,0.961832881,Lung Opacity,0.543477237,Normal (Confidence: 0.96)
test_img_500_9431.png,Normal,0.970631361,Lung Opacity,0.747807622,Normal (Confidence: 0.97)
test_img_500_9433.png,Normal,0.978004634,Normal,0.667881191,Normal (Confidence: 0.98)
test_img_500_949.png,Normal,0.952192128,Lung Opacity,0.526247919,Normal (Confidence: 0.95)
test_img_500_95.png,Normal,0.994982958,Lung Opacity,0.800702512,Normal (Confidence: 0.99)
test_img_500_950.png,Normal,0.988099635,Normal,0.558720708,Normal (Confidence: 0.99)
test_img_500_951.png,Normal,0.99866724,Lung Opacity,0.784855247,Normal (Confidence: 1.00)
test_img_500_953.png,Normal,0.999149323,Lung Opacity,0.875540316,Normal (Confidence: 1.00)
test_img_500_954.png,Normal,0.999928594,Lung Opacity,0.690159559,Normal (Confidence: 1.00)
test_img_500_955.png,Normal,0.999923229,Normal,0.500864625,Normal (Confidence: 1.00)
test_img_500_956.png,Normal,0.983825982,Normal,0.504946768,Normal (Confidence: 0.98)
test_img_500_958.png,Normal,0.990656734,Normal,0.533643425,Normal (Confidence: 0.99)
test_img_500_96.png,Normal,0.987107337,Normal,0.535847902,Normal (Confidence: 0.99)
test_img_500_960.png,Normal,0.999987006,Lung Opacity,0.725609779,Normal (Confidence: 1.00)
